Filter,T,d,n,is_64_bit,average_time,compile_time,Value
Sqrt Filter,113,2,3,True,0.018300771713256836,0.3629779815673828,-860.6225416834768
Sqrt Inf Filter,113,2,3,True,0.02649538516998291,5.131984233856201,-9.556632491720387e+35
Kalman Filter,114,2,3,True,0.021904826164245605,0.43869781494140625,-867.315417638149
Information Filter,114,2,3,True,0.0374030351638794,4.636922836303711,-3.371748113917357e+39
Sqrt Filter,114,2,3,True,0.018454098701477052,0.36601829528808594,-867.3154176381491
Sqrt Inf Filter,114,2,3,True,0.0259122371673584,5.906378269195557,-5.479907667611335e+37
Kalman Filter,115,2,3,True,0.0215850830078125,0.3738982677459717,-874.0082935928214
Information Filter,115,2,3,True,0.03799657821655274,4.608579397201538,-4.0897545236635667e+39
Sqrt Filter,115,2,3,True,0.020478367805480957,0.38655877113342285,-874.0082935928215
Sqrt Inf Filter,115,2,3,True,0.02662990093231201,4.635780096054077,-1.3969798645612297e+38
Kalman Filter,116,2,3,True,0.021758437156677246,0.3823578357696533,-880.7011695474937
Information Filter,116,2,3,True,0.03792805671691894,4.902759552001953,-5.720492426424477e+40
Sqrt Filter,116,2,3,True,0.019119739532470703,0.3867156505584717,-880.7011695474938
Sqrt Inf Filter,116,2,3,True,0.0268446683883667,4.812549352645874,-3.103634674426577e+38
Kalman Filter,117,2,3,True,0.02196946144104004,0.3768651485443115,-887.394045502166
Information Filter,117,2,3,True,0.03760080337524414,4.868638753890991,-7.241622224850939e+40
Sqrt Filter,117,2,3,True,0.020687580108642578,0.4447157382965088,-887.3940455021661
Sqrt Inf Filter,117,2,3,True,0.026128578186035156,4.892583847045898,-9.930253913887965e+38
Kalman Filter,118,2,3,True,0.02468860149383545,0.39421510696411133,-894.0869214568384
Information Filter,118,2,3,True,0.03853793144226074,4.6962926387786865,-1.0077835670033937e+42
Sqrt Filter,118,2,3,True,0.019092559814453125,0.3832433223724365,-894.0869214568385
Sqrt Inf Filter,118,2,3,True,0.02558596134185791,4.78176212310791,-3.8308917634552197e+39
Kalman Filter,119,2,3,True,0.022319698333740236,0.390045166015625,-900.7797974115107
Information Filter,119,2,3,True,0.03984146118164063,4.8255085945129395,-1.271376045758527e+42
Sqrt Filter,119,2,3,True,0.019241905212402342,0.3806424140930176,-900.7797974115108
Sqrt Inf Filter,119,2,3,True,0.025960540771484374,5.252437353134155,-4.116939162131842e+40
Kalman Filter,120,2,3,True,0.02247884273529053,0.38692259788513184,-907.472673366183
Information Filter,120,2,3,True,0.03929214477539063,4.667478084564209,-1.9741974175174295e+43
Sqrt Filter,120,2,3,True,0.02088613510131836,0.4523794651031494,-907.4726733661831
Sqrt Inf Filter,120,2,3,True,0.02744472026824951,5.628068447113037,-9.805348252610739e+40
Kalman Filter,121,2,3,True,0.023488569259643554,0.3919250965118408,-914.1655493208553
Information Filter,121,2,3,True,0.040220022201538086,4.8515729904174805,-2.442579516673779e+43
Sqrt Filter,121,2,3,True,0.01956818103790283,0.46037983894348145,-914.1655493208555
Sqrt Inf Filter,121,2,3,True,0.027942180633544922,4.910336971282959,-2.7281493505631892e+41
Kalman Filter,122,2,3,True,0.024858307838439942,0.38863587379455566,-920.8584252755277
Information Filter,122,2,3,True,0.040118050575256345,4.9546895027160645,-3.178962896458948e+44
Sqrt Filter,122,2,3,True,0.020003652572631835,0.45012784004211426,-920.8584252755278
