K,prop_scale,j,acceptance_rate,par_time,seq_time,success,iterations
100,0.0734769387755102,0,0.13589999,4.4578697681427,10.860647916793823,True,3249
100,0.0734769387755102,1,0.1311,4.38871955871582,10.887389659881592,True,3201
100,0.0734769387755102,2,0.1299,4.516472816467285,10.825778245925903,True,3324
100,0.0734769387755102,3,0.1369,4.367092132568359,10.830028772354126,True,3218
100,0.0734769387755102,4,0.124299996,4.498859167098999,10.879197597503662,True,3285
100,0.0734769387755102,5,0.12619999,4.50898003578186,10.859275102615356,True,3269
100,0.0734769387755102,6,0.1313,4.512040138244629,10.881237030029297,True,3305
100,0.0734769387755102,7,0.124699995,4.521763324737549,10.862615823745728,True,3300
100,0.0734769387755102,8,0.1255,4.538474798202515,10.932907819747925,True,3297
100,0.0734769387755102,9,0.1285,4.5864458084106445,10.9737868309021,True,3335
100,0.07959918367346938,0,0.1214,4.357521295547485,10.923492431640625,True,3183
100,0.07959918367346938,1,0.120799996,4.3705103397369385,10.816488027572632,True,3162
100,0.07959918367346938,2,0.118599996,4.5156090259552,10.812612056732178,True,3295
100,0.07959918367346938,3,0.1228,4.330501079559326,10.818158626556396,True,3213
100,0.07959918367346938,4,0.118499994,4.39232325553894,10.822262048721313,True,3212
100,0.07959918367346938,5,0.120799996,4.448312282562256,10.878462076187134,True,3290
100,0.07959918367346938,6,0.1214,4.485125780105591,10.819995164871216,True,3276
100,0.07959918367346938,7,0.1192,4.448758363723755,10.879149436950684,True,3280
100,0.07959918367346938,8,0.1147,4.424391984939575,10.830034971237183,True,3279
100,0.07959918367346938,9,0.1222,4.595000267028809,10.880172729492188,True,3266
100,0.08572142857142857,0,0.120799996,4.320414304733276,10.871005296707153,True,3184
100,0.08572142857142857,1,0.1041,4.329323053359985,10.866766214370728,True,3135
100,0.08572142857142857,2,0.1107,4.507730007171631,10.928252935409546,True,3287
100,0.08572142857142857,3,0.1166,4.464402675628662,10.946573257446289,True,3210
100,0.08572142857142857,4,0.1085,4.449161052703857,10.885618686676025,True,3211
